ID,UNIFORMITY,PCT_DUPLICATE,TI_TV_RATIO,TOTAL_PF_READS,PCT_ALIGNED,MEDIAN_FRAGMENT_LENGTH,MEAN_COVERAGE_DEPTH,PCT_Q30,PCT_ON_MANIFEST,R1_MEAN_ERROR,R2_MEAN_ERROR,GC_DROPOUT,AT_DROPOUT
160205_M01602_0201_000000000-AF010,99.5,29.6,5.5,2540252,98.8,253,375.1,92,2.2,0.23,0.64,0.26,11.84
160205_M03063_0066_000000000-AL6UH,98.8,26.9,4.2,2502196,98.9,246,685.6,94.2,1.9,0.22,0.44,4.78,3.65
160205_M03448_0044_000000000-ALW19,99.4,32.4,6.5,3259359,99.4,261,504,96.6,2.3,0.16,0.29,0.27,11.36
160208_M01602_0202_000000000-AF0BM,93.3,33.3,3.1,22895150,98.5,262,147.5,94.6,76.6,0.23,0.47,2.44,11.74
160208_M03448_0045_000000000-AF0KG,92.4,33.1,3.1,19964373,98.6,240,128.9,95.6,78,0.2,0.34,4,7.88
160212_M03063_0068_000000000-AF024,99.2,28.9,6.3,3103515,98.7,259,571.7,91.3,2.3,0.27,0.66,0.88,10.73
160212_M03448_0046_000000000-AF081,92.1,30,3.1,27314813,97.6,231,172.5,92.4,78.9,0.27,0.51,2.19,8.33
160215_M03063_0069_000000000-AF013,92.4,30.8,3,35725774,98,234,237,92.4,77.6,0.27,0.51,2.07,11.62
160215_M03448_0047_000000000-AF02R,91.8,30.5,3,30831733,98.1,224,211.8,91,80.5,0.27,0.58,1.38,9.84
160219_M03063_0070_000000000-ALVUH,99.5,29.9,5.6,2677651,98.9,268,499,93.5,2.6,0.25,0.51,0.32,9.59
160226_M03063_0071_000000000-AK1UB,98.7,30.3,2.8,2709474,99.2,281,491.8,94.2,2.1,0.2,0.56,0.91,11.99
160304_M01602_0203_000000000-AK2WF,99.5,23.8,5.6,1956218,99.1,274,366.4,95.2,2.6,0.22,0.44,0.34,10.03
160304_M03063_0072_000000000-AK269,99.2,32.4,4.4,3845669,99.4,264,726.8,96.5,2.4,0.17,0.35,0.26,11.43
160311_M03063_0074_000000000-ALWD1,98.8,32.2,4.5,2817571,99.2,256,540.1,94.4,2.4,0.19,0.46,0.33,11.24
160318_M03063_0075_000000000-AM4VU,99.2,33.2,4.6,2901709,99.2,270,597.8,93.2,2.4,0.22,0.55,0.34,11.89
160329_M03063_0077_000000000-ALT3J,99.3,30.2,5.6,2847727,99.3,265,532.9,94.4,2.3,0.19,0.5,0.27,11.74
160401_M03063_0078_000000000-AM50V,99.2,36.9,4.7,4135050,99.3,254,843,96,2.2,0.18,0.35,1.23,10.13
160408_M03063_0079_000000000-ALL4G,99,35.5,4.7,3070072,99.4,271,658.2,96.3,2.2,0.19,0.35,1.3,10.05
160408_M03448_0051_000000000-ALTUT,90.5,30.3,3.2,22529753,98.7,215,153.5,96.1,82.5,0.2,0.32,1.39,9.08
160415_M03063_0080_000000000-ALLHW,99.4,29.9,3.9,2781352,99.1,264,523.4,94,2.4,0.2,0.52,0.24,10.25
160422_M03063_0081_000000000-ALTHV,99.3,29.5,3.7,2690239,99.3,253,538.7,94.5,2,0.2,0.43,1.21,10.75
160429_M03063_0082_000000000-ALU1H,98.5,31.1,5.2,2848092,99.1,257,586,93.6,2.3,0.21,0.54,0.85,11.36
160506_M01602_0204_000000000-AM6W4,98.9,26.6,5.9,2468842,98.7,261,470.8,93,2.3,0.23,0.55,0.78,11.25
160513_M03448_0053_000000000-ALU1P,98.8,28.1,4.2,2317341,98.4,259,415.7,91.8,2.3,0.24,0.6,0.28,12.74
160520_M03063_0083_000000000-APC1F,98.5,33.3,4.6,3123004,99.3,252,647.9,94.5,2.3,0.2,0.41,0.84,11.77
160527_M01602_0205_000000000-APC88,99.3,26.9,5,2316316,99,253,365.6,93.9,2.3,0.22,0.44,0.26,11.74
160601_M03063_0085_000000000-AR0NT,91.9,37.1,3.2,2855334,99.3,225,596.3,98.5,26.9,0.15,0.16,4.5,1.75
160603_M03448_0056_000000000-AR0U8,98.4,26.8,3.2,2125781,99.2,260,429.7,95.3,2.2,0.2,0.36,0.89,12.24
160610_M03448_0058_000000000-AU0GG,98.5,32.3,2.9,3701095,99.1,257,707.1,96.4,23.3,0.18,0.3,0.84,6.69
160610_M01602_0206_000000000-AR2GE,98.9,29.2,5.5,2287943,98.9,259,410.7,94.6,2.2,0.19,0.38,0.26,12.63
160527_M03063_0084_000000000-APBFP,97.6,31.9,5.2,2247940,99.4,227,498.3,98.7,11.2,0.14,0.16,1.82,3.06
160609_M03063_0086_000000000-AR0NW,91.8,29.1,3.1,2762379,99.2,246,519.8,95.8,24.7,0.18,0.33,3.45,3.66
160725_M01602_0217_000000000-AT0KG,97.8,37.4,3.3,2417797,98.5,217,523.7,94.1,26.9,0.22,0.39,2.86,1.95
160805_M01602_0218_000000000-AT17Y,99.5,22.4,3.9,2362987,98.2,210,528.9,93.7,2.8,0.25,0.4,2.13,3.03
160902_M03063_0096_000000000-AT17G,99.4,30.2,5,2942737,99,205,676.8,95.1,3,0.22,0.31,1.62,3.52
